protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,lstm,LSTM,777.0,563,4.516793320523969,3.2576341103914577,2.532869761299724,2.574770196889963,1.691688336824116,1.249251390183108,1.7542510496586277,1.9256703728933684,2.0275100601877023,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,gru,GRU,42.0,563,3.666076233466067,2.670843649503393,2.020256242559126,2.574770196889963,1.691688336824116,1.249251390183108,1.423845995224848,1.578803607830914,1.6171734996132432,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,gru,GRU,123.0,563,3.944815376070492,2.810284006447394,2.124474820424378,2.574770196889963,1.691688336824116,1.249251390183108,1.5321038673025622,1.6612303491571436,1.700598324019463,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,gru,GRU,777.0,563,3.6109366574165054,2.5422299319008106,1.8981515091234005,2.574770196889963,1.691688336824116,1.249251390183108,1.4024306564438709,1.5027767683694355,1.5194311761743813,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,dlinear,DLinear,42.0,563,8.706126063367675,6.828519370585521,5.162675502022055,2.574770196889963,1.691688336824116,1.249251390183108,3.381321592848834,4.036511467239299,4.132615374768837,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,dlinear,DLinear,123.0,563,10.71277830731209,8.805025903623863,6.769199548363764,2.574770196889963,1.691688336824116,1.249251390183108,4.160673570111981,5.204874746700649,5.418604775273914,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,1,technical,dlinear,DLinear,777.0,563,8.642578573293042,6.718130555500146,5.239254740710166,2.574770196889963,1.691688336824116,1.249251390183108,3.356640753311624,3.971257831163156,4.193915477606335,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,lstm,LSTM,42.0,569,6.602569779353856,4.962197972517232,3.785591075387945,5.470402444921533,3.8857299456068417,2.868844192833057,1.2069623479865497,1.2770310963394231,1.3195526912354123,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,lstm,LSTM,123.0,569,7.175660870730627,5.399953054418044,4.208431056770769,5.470402444921533,3.8857299456068417,2.868844192833057,1.311724492480837,1.3896882001599633,1.4669430522871427,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,lstm,LSTM,777.0,569,7.086584265121277,5.369494687903326,4.17964933019607,5.470402444921533,3.8857299456068417,2.868844192833057,1.2954411190899002,1.3818496815441357,1.456910535831003,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,gru,GRU,42.0,569,6.076341313709382,4.529297719730853,3.448146567055479,5.470402444921533,3.8857299456068417,2.868844192833057,1.1107667808518136,1.1656233920351622,1.2019288379862645,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,gru,GRU,123.0,569,6.358771285968705,4.76686860471702,3.660893620597044,5.470402444921533,3.8857299456068417,2.868844192833057,1.1623955184269654,1.2267627116254909,1.2760865960384618,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,gru,GRU,777.0,569,6.209157981957769,4.606514325669863,3.497440402698364,5.470402444921533,3.8857299456068417,2.868844192833057,1.1350459211135484,1.1854952325953407,1.219111310204878,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,dlinear,DLinear,42.0,569,6.831032440919726,5.237472158743753,4.196077979272216,5.470402444921533,3.8857299456068417,2.868844192833057,1.2487257582413045,1.3478734322917048,1.462637110009269,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,dlinear,DLinear,123.0,569,6.354373131412266,4.7914472020154255,3.737597108776903,5.470402444921533,3.8857299456068417,2.868844192833057,1.161591527385955,1.2330880604383163,1.3028233175277222,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,ohlcv,dlinear,DLinear,777.0,569,6.470875632428735,4.832937699839185,3.729372169964704,5.470402444921533,3.8857299456068417,2.868844192833057,1.1828884067635634,1.2437657190518978,1.2999563305952333,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,lstm,LSTM,42.0,562,6.853530602038851,5.2432455965632645,4.048616584073723,5.470402444921533,3.8857299456068417,2.868844192833057,1.252838465002031,1.3493592375072831,1.411236132721314,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,raw_close,5,technical,lstm,LSTM,123.0,562,6.931355861811616,5.325020175811659,4.109591314113245,5.470402444921533,3.8857299456068417,2.868844192833057,1.267065070915644,1.3704040811770928,1.4324902427185906,0,Dow 30
